reviews,sentiments,ratings
"If anybody is planning to add a soundbar to their smart tv, just close your eyes and go for it.

Packaging was really cute and open box delivery by delivery agent was a nice experience.

However HDMI arc is not available in S60, but other options like 3.5 mm audio in, COAX, and offcourse bluetooth works like charm. I have connected it to my 43 inch smart tv via bluetooth.

Sound quality is crisp and clear. Bass is optimum, but not for heavy bass lovers. 3 equalizer modes available but i could...
READ MORE",Highly recommended,5
"Sound quality is superb
Bass also is good
Best soundbar in this budget, go for it",Delightful,4
"I have been researching about soundbar
Sound quality is amazing Didn’t expect it from Indian brand ( Boat you got a big competition in terms quality and sound quality- impressive)
Using HDMI source and tried multiple options
Everything is working good
One thing is this product you can’t expect Dolby but it gives you cinematic experience for sure ( I have experienced literally)
Good for medium size hall ( installation is not done - I unboxed the product myself)

Sound quality- 4/5
Bass -...
READ MORE",Nice product,4
A perfect soundbar in this segment. Superb sound and bass quality. Connectivity is easy and smooth. Remote has all the features to control . I think mivi should launch some new soundbars.,Best in the market!,5
Value for money..Must Buy👏,Just wow!,5
"It was great to see that india’s most trusted brand to launch a sound bar.
Made in India to mention on the top.
I ordered 100w bluetooth sound bar and the setup was pretty easy.
Sound quality has been really good with a perfect theatrical experience due to the two inbuilt subwoofers.
The clearity is also good and the bass is simply upto the mark
Elegant and stylish in looks
Can easily control through already provided remote.
The voice looks really clear in every corners of room.",Classy product,5
I love mivi using it for 4 months and reviewing..it's gud in both Aux and Bluetooth mode...feels like home theater..love the subwoofer and bass effects ...,Awesome,5
"Good Design And Built
Sound Quality is also good bass is superb the Quality of inbuilt 2 subwoofers are good
Connectivity options are more like HDMI, Bluetooth and it comes with Bluetooth version 5.1, Coaxial, Aux
Multiple Equalizer like movie, news, music

Overall a good soundbar from MIVI",Best in the market!,5
"Good Bass 🔊
Best Design 🎶
Connectivity 👌🏼
Value for Money 💰
Best ever product 🥳

AWESOME PRODUCT😍🥳🔥

🔥🔥🔥🔥🔥🔥🔥🔥🎶",Excellent,5
"After long searching I found a excellent sound bar under 5k, with good bass, triple, sound quality",Terrific,5
