reviews,sentiments,ratings
everything is very good,Just wow!,5.0
"Camera good
Display 👍",Best in the market!,5.0
Camera is very good and battery backup is very good,Simply awesome,5.0
Awesome product,Good choice,4.0
Awesome,Worth the money,4.0
Good,Wonderful,5.0
Good product like a camera chargeing speed and degin,Very Good,4.0
Worth it decent phone camera need software update,Delightful,4.0
This is good 👍🏻👍🏻 product of one plus .... Camera and sound to good and also battery life,Worth every penny,5.0
One plus CE3 lite.. What a brilliant concept.. I loved it.. Super display quality.. Best battery backup.. Fast charging with 80w... Superb performance.. Very smoothly working pubg game.. And camera is ok from this price.. Totally i love this one plus phone... Thanks🤩,Best in the market!,5.0
"VERY GOOD PRODUCT
THANK YOU FLIPKART
❤️❤️",Delightful,4.0
"Camera quality excellent, battery very good, performance very good, overall phone quality is very good 😊 I love it ❤️",Simply awesome,5.0
The only problem I found with this phone is that call recording lets the caller know.😑 Otherwise it's fantastic mobile.,Good choice,4.0
Good,Just wow!,5.0
Loved It,Great product,5.0
Thanks Flipkart and oneplus overall is best in best' love it this phone is best for your future life and all of them.,Great product,5.0
Phone Is Good 👍 Better performance,Perfect product!,5.0
very good product,Best in the market!,5.0
Good quality OnePlus Nord ce3 lite 👍,Perfect product!,5.0
Super mobile,Awesome,5.0
Good product good Quality best porfomanance,Super!,5.0
My first one plus mobile feeling very happy.Must buy amazing product.,Delightful,4.0
"Nice camera, Thanks Flipkart",Worth every penny,5.0
Super 🤩,Classy product,5.0
Nice,Fabulous!,5.0
Nice phone,Perfect product!,5.0
Good product,Awesome,5.0
Nyc.,Terrific,5.0
At that price good phone,Really Nice,4.0
"awesome camera quality and beauitful to use cellphone smoothly working ,📱",Terrific,5.0
Good mobile,Good choice,4.0
It's gorgeous product,Worth the money,4.0
"Unbeatable value for its price, this mobile delights users with a larger size, stunning display, and worry-free daily usage, thanks to its cool operation.",Excellent,5.0
Awesome 😎👍👍,Simply awesome,5.0
That's is awesome 👍,Excellent,5.0
Charging speed is very fast. Camera quality is good.service is very fast .totaly is nice one,Good quality product,4.0
camera good Has and battery backup good fast charging,Must buy!,5.0
"Omg so beautiful😍✨
Worth it
I just request to deliver fast and I got 3 days before. Thank you flipkart 🙏🏻🫂.
Camera - 4
Battery - 4.5
Overall good
It aslo support double video mode",Excellent,5.0
"Mobile is absolutely cool, it is fun to take mobile",Awesome,5.0
Camera is awesome😊!!!,Must buy!,5.0
"Camera good
Phone looking nice ❤️
Charge in 55 minute",Simply awesome,5.0
Best Mobile 💚,Awesome,5.0
Superb quality 🥰,Classy product,5.0
